
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff"

="is_female",="0.0301",="0.0355*",="0.0526**",="-0.00433",="0.0258",="0.00949",="0.0226",="0.0116",="-0.0345"
="",="(0.0209)",="(0.0193)",="(0.0213)",="(0.0166)",="(0.0196)",="(0.0219)",="(0.0222)",="(0.0227)",="(0.0338)"

="is_poc",="-0.0158",="-0.0601",="-0.00199",="0.0575",="0.109",="0.161",="0.00468",="0.168**",="0.0132"
="",="(0.0200)",="(0.0378)",="(0.0254)",="(0.0724)",="(0.0857)",="(0.148)",="(0.0386)",="(0.0822)",="(0.0515)"

="is_asian",="0.529***",="-0.000514",="-0.0102",="0.00802",="0.0899",="0.114*",="0.0164",="0.103",="0.0278"
="",="(0.184)",="(0.0600)",="(0.0351)",="(0.0562)",="(0.0834)",="(0.0658)",="(0.0353)",="(0.0987)",="(0.0631)"

="is_hisp",="0",="0.635***",="0",="0",="0.00614",="0",="0",="0",="-0.144"
="",="(.)",="(0.166)",="(.)",="(.)",="(0.0303)",="(.)",="(.)",="(.)",="(0.104)"

="is_native",="0",="0.0185",="0.00588",="0.0416",="0.132",="0.929***",="-0.367***",="-0.0579",="-0.132"
="",="(.)",="(0.0845)",="(0.0871)",="(0.0579)",="(0.122)",="(0.0396)",="(0.102)",="(0.0362)",="(0.0805)"

="State",="MS",="MT",="NC",="ND",="NE",="NH",="NJ",="NM",="NV"
="Observations",="762",="831",="1019",="814",="637",="637",="861",="669",="636"
="Mean of Dep. Variable",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
