
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff"

="is_female",="0.0116",="0.00103",="-0.000725",="0.0197",="0.00774",="-0.0185",="0.00227",="0.0158",="0.0363*"
="",="(0.0206)",="(0.0273)",="(0.0235)",="(0.0209)",="(0.0219)",="(0.0252)",="(0.0237)",="(0.0214)",="(0.0218)"

="is_poc",="-0.0665***",="0.148**",="-0.00789",="0.0406",="0.0252",="0.0665",="0.0816*",="-0.0254",="0.0150"
="",="(0.0235)",="(0.0621)",="(0.0240)",="(0.0419)",="(0.0255)",="(0.101)",="(0.0429)",="(0.0480)",="(0.0372)"

="is_asian",="-0.0455",="-0.124",="0.0968",="0.00329",="0.0255",="0.0136",="-0.0632*",="-0.0137",="0.0511"
="",="(0.0351)",="(0.0926)",="(0.0794)",="(0.0333)",="(0.0302)",="(0.0519)",="(0.0366)",="(0.0400)",="(0.0852)"

="is_hisp",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="is_native",="0.0429",="-0.0265",="-0.101*",="0.0187",="-0.0297",="0.520",="0.561***",="0.286",="-0.135*"
="",="(0.123)",="(0.0784)",="(0.0590)",="(0.111)",="(0.0760)",="(0.359)",="(0.152)",="(0.207)",="(0.0759)"

="State",="KS",="KY",="LA",="MA",="MD",="ME",="MI",="MN",="MO"
="Observations",="598",="511",="964",="941",="583",="393",="1062",="639",="650"
="Mean of Dep. Variable",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
