
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff"

="is_female",="-0.0150",="0.0297",="0.000215",="0.0467**",="0.0196*",="-0.0226",="0.0242",="0.0111",="0.0473**"
="",="(0.0232)",="(0.0209)",="(0.0179)",="(0.0190)",="(0.0101)",="(0.0266)",="(0.0201)",="(0.0190)",="(0.0204)"

="is_poc",="-0.00261",="0.00637",="-0.0161",="-0.0374",="0.0128",="-0.111",="0.0115",="-0.0640***",="0.0836*"
="",="(0.0605)",="(0.0239)",="(0.0244)",="(0.0320)",="(0.0228)",="(0.0683)",="(0.126)",="(0.0227)",="(0.0428)"

="is_asian",="0.0103",="0.0367",="-0.0467**",="0.151**",="-0.00761",="-0.000535",="-0.0361",="0.00283",="0.159*"
="",="(0.0454)",="(0.0527)",="(0.0235)",="(0.0761)",="(0.0127)",="(0.0808)",="(0.0235)",="(0.0496)",="(0.0964)"

="is_hisp",="0",="0",="0",="-0.0638",="-0.0509",="-0.0730",="-0.00836",="0",="0"
="",="(.)",="(.)",="(.)",="(0.0421)",="(0.0394)",="(0.0566)",="(0.0350)",="(.)",="(.)"

="is_native",="0.0729*",="0.0586",="0.0180",="0.0416",="0.0338",="0.0202",="-0.0376",="0.130",="-0.0237"
="",="(0.0407)",="(0.0854)",="(0.152)",="(0.0973)",="(0.0409)",="(0.0435)",="(0.0244)",="(0.165)",="(0.0513)"

="State",="AK",="AL",="AR",="AZ",="CA",="IA",="ID",="IL",="IN"
="Observations",="528",="877",="768",="696",="3811",="550",="751",="1181",="772"
="Mean of Dep. Variable",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
